"Handle","Title","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Grams","Variant Inventory Qty","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable"
"jubilee-silver","Silver Jubilee Collection","<p>Everything in this collection is made from your restored photograph. Includes: A2 Heritage Print, Square Photo Cushion (40cm), Classic Photo Mug, 5 Fridge Magnets.</p>","ONJJEM","Gift Collection","Jubilee;Anniversary;Gift","TRUE","","","jubilee-silver","0","100","189","","TRUE","TRUE"
"jubilee-pearl","Pearl Jubilee Collection","<p>Everything in this collection is made from your restored photograph. Includes: A1 Gallery Canvas, Luxury Velvet Throw (150x100cm), 500 Piece Jigsaw, Fine Bone China Mug.</p>","ONJJEM","Gift Collection","Jubilee;Anniversary;Gift","TRUE","","","jubilee-pearl","0","100","249","","TRUE","TRUE"
"jubilee-ruby","Ruby Jubilee Collection","<p>Everything in this collection is made from your restored photograph. Includes: A1 Gallery Canvas, Luxury Silk Cushion (50cm), Queen Fleece Blanket, A3 Photo Calendar, Bone China Mug Pair.</p>","ONJJEM","Gift Collection","Jubilee;Anniversary;Gift","TRUE","","","jubilee-ruby","0","100","339","","TRUE","TRUE"
"jubilee-golden","Golden Jubilee Collection","<p>Everything in this collection is made from your restored photograph. Includes: A0 Giant Canvas, Luxury Sherpa Throw, 2x Silk Cushions (50cm), 1000 Piece Jigsaw, A4 Photo Book, Bone China Mug Pair.</p>","ONJJEM","Gift Collection","Jubilee;Anniversary;Gift","TRUE","","","jubilee-golden","0","100","449","","TRUE","TRUE"
"jubilee-diamond","Diamond Jubilee Collection","<p>Everything in this collection is made from your restored photograph. Includes: A0 Giant Canvas, King Silk Duvet Cover, 2x Silk Cushions, 1000 Piece Jigsaw, 96 Piece Wooden Jigsaw, A4 Photo Book, Tea Set for 4.</p>","ONJJEM","Gift Collection","Jubilee;Anniversary;Gift","TRUE","","","jubilee-diamond","0","100","649","","TRUE","TRUE"
"jubilee-platinum","Platinum Jubilee Collection","<p>The most extraordinary anniversary gift we have ever created. Includes: 150cm Panoramic Canvas, Super King Silk Duvet Cover, 4x Silk Cushions, Sherpa Throw, Queen Fleece Blanket, 1000 Piece Jigsaw, 96 Piece Wooden Jigsaw, A3 Photo Book, Tea Set for 4, Photo Ribbon, Gift Tags, Gift Wrap Roll.</p>","ONJJEM","Gift Collection","Jubilee;Anniversary;Gift","TRUE","","","jubilee-platinum","0","100","999","","TRUE","TRUE"
"cushion-square-40x40","Square Photo Cushion","<p>Your restored photo printed on a soft velvet-touch front with a plain colour-matched backing. Fill of your choice: duck feather and down or poly-fibre. Zip fastening. Machine washable. 5-Year Print Guarantee.</p>","ONJJEM","Cushion","Lounge;Cushion;Home","TRUE","Fill","Duck Feather and Down","cushion-square-40x40","0","100","44.99","","TRUE","TRUE"
"cushion-square-40x40","","","","","","","Fill","Poly-Fibre Fill","cushion-square-40x40","0","100","44.99","","TRUE","TRUE"
"cushion-large-60x60","Large Luxury Cushion","<p>Our largest cushion - a bold centrepiece for any sofa. Soft velvet-touch front with your expertly restored photo, plain colour-matched backing. Fill of your choice. Machine washable. 5-Year Print Guarantee.</p>","ONJJEM","Cushion","Lounge;Cushion;Home","TRUE","Fill","Duck Feather and Down","cushion-large-60x60","0","100","59.99","","TRUE","TRUE"
"cushion-large-60x60","","","","","","","Fill","Poly-Fibre Fill","cushion-large-60x60","0","100","59.99","","TRUE","TRUE"
"cushion-silk-portrait","Luxury Silk Portrait Cushion","<p>Crafted from buttery-soft 100% natural silk - the same quality found in luxury accessories. Hand-sewn in London with your choice of duck feather and down or poly-fibre fill, hidden zip fastening. Dry-clean recommended. 5-Year Print Guarantee.</p>","ONJJEM","Cushion","Lounge;Cushion;Premium","TRUE","Fill","Duck Feather and Down","cushion-silk-portrait","0","100","84.99","","TRUE","TRUE"
"cushion-silk-portrait","","","","","","","Fill","Poly-Fibre Fill","cushion-silk-portrait","0","100","84.99","","TRUE","TRUE"
"blanket-fleece-small","Photo Fleece Blanket - Small","<p>Your restored photo printed in full-colour HD onto 570gsm double-layer anti-pilling polar fleece. Handstitched by our London seamstresses. Machine washable, non-fray. Choose from four backing colours. Ideal as a children's blanket or lap throw.</p>","ONJJEM","Blanket","Lounge;Blanket;Home","TRUE","Size","100x73 cm","blanket-fleece-small","0","100","54.99","","TRUE","TRUE"
"blanket-fleece-medium","Photo Fleece Blanket - Medium","<p>Our most popular size - drapes beautifully over sofas and armchairs. 570gsm double-layer anti-pilling polar fleece, handstitched by our London seamstresses. Printed both sides or single side. Machine washable. Four backing colours.</p>","ONJJEM","Blanket","Lounge;Blanket;Home","TRUE","Size","145x106 cm","blanket-fleece-medium","0","100","74.99","","TRUE","TRUE"
"blanket-fleece-large","Photo Fleece Blanket - Large","<p>A massive, room-filling blanket. 570gsm double-layer anti-pilling polar fleece, handstitched by our London seamstresses. Machine washable, non-fray. Four backing colours.</p>","ONJJEM","Blanket","Lounge;Blanket;Home","TRUE","Size","198x145 cm","blanket-fleece-large","0","100","99.99","","TRUE","TRUE"
"throw-luxury-velvet","Luxury Velvet Photo Throw","<p>Heavyweight velvet-touch front with a satin-finish edge. 150x100 cm; satin edge binding; non-slip backing.</p>","ONJJEM","Throw","Lounge;Throw;Premium","TRUE","Size","150x100 cm","throw-luxury-velvet","0","100","149.99","","TRUE","TRUE"
"throw-sherpa-fleece","Luxury Sherpa Photo Throw","<p>Plush velvet front and a thick, cream Sherpa fleece reverse. Handstitched in London. 127x152 cm.</p>","ONJJEM","Throw","Lounge;Throw;Premium","TRUE","Size","127x152 cm","throw-sherpa-fleece","0","100","189.99","","TRUE","TRUE"
"jigsaw-heart-500","Anniversary Heart Jigsaw","<p>Heart-shaped puzzle for wedding and anniversary memories. 500 pieces; heart-shaped; satin-gloss finish.</p>","ONJJEM","Jigsaw","Jigsaw;Gift;Anniversary","TRUE","Size","500 Pieces","jigsaw-heart-500","0","100","64.99","","TRUE","TRUE"
"jigsaw-collage-500","Generations Collage Puzzle","<p>Experts arrange your favourite photos into a collage. 500 pieces; multiple photos.</p>","ONJJEM","Jigsaw","Jigsaw;Gift;Family","TRUE","Size","500 Pieces","jigsaw-collage-500","0","100","44.99","","TRUE","TRUE"
"jigsaw-face-500","Portrait Face Jigsaw","<p>Experts zoom in on the most important face in your photo. 500 pieces; close-up portrait.</p>","ONJJEM","Jigsaw","Jigsaw;Gift;Portrait","TRUE","Size","500 Pieces","jigsaw-face-500","0","100","74.99","","TRUE","TRUE"
"jigsaw-1000-giant","1000 Piece Giant Puzzle","<p>Our largest cardboard puzzle - 66x40.6cm. 1000 pieces; 2mm reinforced cardboard.</p>","ONJJEM","Jigsaw","Jigsaw;Gift;Family","TRUE","Size","1000 Pieces","jigsaw-1000-giant","0","100","49.99","","TRUE","TRUE"
"jigsaw-500-standard","500 Piece Standard Puzzle","<p>Our most popular puzzle - 33x47cm. 500 pieces; 2mm reinforced cardboard.</p>","ONJJEM","Jigsaw","Jigsaw;Gift;Family","TRUE","Size","500 Pieces","jigsaw-500-standard","0","100","39.99","","TRUE","TRUE"
"jigsaw-252-cardboard","252 Piece Classic Cardboard","<p>27x33.5cm when complete. 252 pieces; satin-gloss laminate.</p>","ONJJEM","Jigsaw","Jigsaw;Gift;Family","TRUE","Size","252 Pieces","jigsaw-252-cardboard","0","100","49.99","","TRUE","TRUE"
"jigsaw-wood-96-classic","96 Piece Classic Wooden","<p>Chunky, hand-cut wooden pieces with a satisfying click. 2.5mm chunky wood; 36x25 cm.</p>","ONJJEM","Jigsaw","Jigsaw;Gift;Wooden","TRUE","Size","96 Pieces","jigsaw-wood-96-classic","0","100","84.99","","TRUE","TRUE"
"jigsaw-wood-96-heritage","96 Piece Wooden - Heritage Edition","<p>Presented in a luxury ONJJEM Heritage Gift Box with Certificate of Authenticity. 96 pieces; 2.5mm chunky wood.</p>","ONJJEM","Jigsaw","Jigsaw;Gift;Premium","TRUE","Size","96 Pieces","jigsaw-wood-96-heritage","0","100","89.99","","TRUE","TRUE"
"jigsaw-wood-30-kids","30 Piece Kids Wooden","<p>30 extra-chunky 2.5mm wooden pieces, sized for small hands. 25x17.5 cm.</p>","ONJJEM","Jigsaw","Jigsaw;Gift;Kids","TRUE","Size","30 Pieces","jigsaw-wood-30-kids","0","100","64.99","","TRUE","TRUE"
"print-7x5-standard","Standard Photo Print","<p>Printed on premium gloss photo paper. 7x5 inch (12.7x17.8 cm).</p>","ONJJEM","Print","Print;Photo;Standard","TRUE","Size","7x5 inch","print-7x5-standard","0","100","14.99","","TRUE","TRUE"
"print-a4-poster","A4 Photo Poster","<p>160gsm semi-gloss satin paper with a white border. 21x29.7 cm.</p>","ONJJEM","Print","Print;Poster;Photo","TRUE","Size","A4","print-a4-poster","0","100","24.99","","TRUE","TRUE"
"print-a3-poster","A3 Photo Poster","<p>Gallery-quality print ready to frame. 29.7x42 cm.</p>","ONJJEM","Print","Print;Poster;Photo","TRUE","Size","A3","print-a3-poster","0","100","34.99","","TRUE","TRUE"
"print-a2-boutique","A2 Boutique Poster","<p>189gsm smooth matte fine art paper. 42x59.4 cm.</p>","ONJJEM","Print","Print;Poster;Fine Art","TRUE","Size","A2","print-a2-boutique","0","100","49.99","","TRUE","TRUE"
"print-a1-statement","A1 Statement Poster","<p>A high-impact gallery print that fills the room. 59.4x84.1 cm.</p>","ONJJEM","Print","Print;Poster;Gallery","TRUE","Size","A1","print-a1-statement","0","100","69.99","","TRUE","TRUE"
"print-a0-giant","A0 Giant Poster","<p>Our largest print, truly commanding at A0 scale. 84.1x118.9 cm.</p>","ONJJEM","Print","Print;Poster;Giant","TRUE","Size","A0","print-a0-giant","0","100","99.99","","TRUE","TRUE"
"print-panoramic-150cm","Massive Panoramic Print","<p>Breathtaking wide-angle restoration. 150 cm wide; premium fine art paper.</p>","ONJJEM","Print","Print;Panoramic;Fine Art","TRUE","Size","150 cm Wide","print-panoramic-150cm","0","100","115","","TRUE","TRUE"
"canvas-a3-classic","A3 Gallery Canvas","<p>400gsm artist-grade canvas on a 2cm pine frame. 42x29.7 cm; ready to hang.</p>","ONJJEM","Canvas","Canvas;Print;Gallery","TRUE","Size","A3","canvas-a3-classic","0","100","64.99","","TRUE","TRUE"
"canvas-a2-premium","A2 Premium Canvas","<p>Hand-stretched on a 4cm deep-edge solid pine frame. 59.4x42 cm.</p>","ONJJEM","Canvas","Canvas;Print;Premium","TRUE","Size","A2","canvas-a2-premium","0","100","84.99","","TRUE","TRUE"
"canvas-a1-master","A1 Master Gallery Canvas","<p>Commands any wall with museum-grade impact. 84.1x59.4 cm; 4cm deep edge.</p>","ONJJEM","Canvas","Canvas;Print;Master","TRUE","Size","A1","canvas-a1-master","0","100","124.99","","TRUE","TRUE"
"canvas-a0-giant","A0 Giant Statement Canvas","<p>Our largest canvas. 118.9x84.1 cm; 4cm deep edge.</p>","ONJJEM","Canvas","Canvas;Print;Giant","TRUE","Size","A0","canvas-a0-giant","0","100","189.99","","TRUE","TRUE"
"classic-mug","Classic Photo Mug","<p>Chunky, satisfying everyday mug. Ceramic; 10-year print guarantee.</p>","ONJJEM","Mug","Kitchen;Mug;Gift","TRUE","","","classic-mug","0","100","24.99","","TRUE","TRUE"
"thermal-travel-mug","Thermal Travel Mug","<p>Stainless steel with double-walled vacuum insulation. Leak-proof screw lid; fits car cup holders.</p>","ONJJEM","Mug","Kitchen;Mug;Travel","TRUE","","","thermal-travel-mug","0","100","34.99","","TRUE","TRUE"
"car-travel-cup","Car Travel Cup","<p>Engineered specifically to fit car cup holders. Spill-resistant lid; full-colour photo wrap.</p>","ONJJEM","Mug","Kitchen;Mug;Travel","TRUE","","","car-travel-cup","0","100","34.99","","TRUE","TRUE"
"espresso-cups-set","Coffee and Espresso Cups - Set of 2","<p>Two fine china espresso cups and saucers. Fine china; gift-boxed.</p>","ONJJEM","Mug","Kitchen;Mug;Gift","TRUE","Set Size","Set of 2","espresso-cups-set","0","100","79.99","","TRUE","TRUE"
"bone-china-teapot","Bone China Photo Teapot","<p>6-cup capacity; warm rich colour reproduction. Fine bone china; gift-boxed.</p>","ONJJEM","Teaware","Kitchen;Teapot;Gift","TRUE","","","bone-china-teapot","0","100","124.99","","TRUE","TRUE"
"dinner-plates-set","Photo Dinner Plates - Set of 2","<p>Two ceramic plates with fade-resistant inks. Ceramic; microwave and dishwasher safe.</p>","ONJJEM","Plate","Kitchen;Plate;Gift","TRUE","Set Size","Set of 2","dinner-plates-set","0","100","49.99","","TRUE","TRUE"
"kids-photo-plate","Kids Photo Plate","<p>Child-sized ceramic plate. Microwave and dishwasher safe.</p>","ONJJEM","Plate","Kitchen;Plate;Kids","TRUE","","","kids-photo-plate","0","100","24.99","","TRUE","TRUE"
"beer-coasters-set","Photo Beer Coasters - Set of 4","<p>Four round cork-backed coasters. 10.5 cm diameter.</p>","ONJJEM","Coaster","Kitchen;Coaster;Gift","TRUE","Set Size","Set of 4","beer-coasters-set","0","100","34.99","","TRUE","TRUE"
"beer-mat","Heritage Photo Beer Mat","<p>Single full-colour cork-backed beer mat. 10.5 cm diameter.</p>","ONJJEM","Coaster","Kitchen;Coaster;Gift","TRUE","","","beer-mat","0","100","14.99","","TRUE","TRUE"
"photo-apron","Photo Apron","<p>100% polyester with fade-resistant printing. Adjustable neck strap; one size fits most.</p>","ONJJEM","Apron","Kitchen;Apron;Gift","TRUE","","","photo-apron","0","100","44.99","","TRUE","TRUE"
